Value Set Code,Tree Code,Tree Version Name,Tree Version Start Date,Tree Version End Date,Parent30,Parent29,Parent28,Parent27,Parent26,Parent25,Parent24,Parent23,Parent22,Parent21,Parent20,Parent19,Parent18,Parent17,Parent16,Parent15,Parent14,Parent13,Parent12,Parent11,Parent10,Parent9,Parent8,Parent7,Parent6,Parent5,Parent4,Parent3,Parent2,Parent1,Value,Label Short Name
DEMO RMN VALUE SET,DEMO_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,100,None,29,Root,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,3000,100,30,,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,4000,100,30,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,5000,100,30,,3, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,6000,100,30,,4, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,7000,100,30,,5, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1003,None,31,,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1004,None,31,,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1005,None,31,,3, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1006,None,31,,4, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1007,None,31,,5, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1008,None,31,,6, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1009,None,31,,7, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1010,None,31,,8, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1011,None,31,,9, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1012,None,31,,10, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1013,None,31,,11, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1014,None,31,,12, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1015,None,31,,13, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1016,None,31,,14, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1017,None,31,,15, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1018,None,31,,16, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1019,None,31,,17, ,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,DEMO_RMN_TREE_NAME,DEMO_TREE_VERSION,2013/01/01,2015/01/01,1020,None,31,,18, ,,,,,,,,,,,,,,,,,,,,,,,,,,
