Value Set Code,Value,Start Date,End Date,Summary Flag,Enabled Flag,Account Type,Allow Posting Flag,Allow Budgeting Flag,Third Party Control Account,Reconcile Flag,Financial Category,Description  US,Description  AR,Description CS,Description DDescription DK,Description E,Description EL,Description ESA,Description F,Description FRC,Description HR,Description HU,Description I,Description IS,Description IW,Description JA,Description KO,Description NL,Description LT,Description PL,Description PT,Description PTB,Description N,Description RO,Description RU,Description S,Description SF,Description SK,Description SL,Description TH,Description TR,Description ZHS,Description ZHT,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22,Attribute23,Attribute24,Attribute25,Attribute26,Attribute27,Attribute28,Attribute29,Attribute30,Attribute31,Attribute32,Attribute33,Attribute34,Attribute35,Attribute36,Attribute37,Attribute38,Attribute39,Attribute40,Attribute41,Attribute42,Attribute43,Attribute44,Attribute45,Attribute46,Attribute47,Attribute48,Attribute49,Attribute50,Data Source,Description UK,Description ET,Description LV,Description VN,Is Validated
DEMO RMN VALUE SET,110,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash paid to acquire intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,111,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash paid to acquire other long-term assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBDI,,,,
DEMO RMN VALUE SET,112,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash paid to acquire investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRM,,,,
DEMO RMN VALUE SET,113,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Other cash paid relating to investing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,114,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Indirect Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,115,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash received from sales of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,116,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash received from rendering of services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,117,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Refund of taxes and levy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,118,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,other cash received relating to operating activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,119,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash received from return of investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,120,01-01-2001,01-01-2016,N,Y,A,Y,Y,N,N,,Cash received from return of profit on investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,121,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Net cash received from disposal of fixed assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,122,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Net cash received from disposal of intangible assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,123,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Net cash received from disposal of other long-term assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,124,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Other cash received relating to investing activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,125,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,126,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Cash repayments of amounts borrowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMO RMN VALUE SET,127,01-01-2001,01-01-2016,N,Y,,Y,Y,N,N,,Cash payments for distribution of dividends or profits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
